true_defect,defect_img_path,defect_image_name,img_shape,board,comp_id,comp_type,date
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036951/D1_C39.jpg,D1_C39.jpg,"(131, 54, 3)",0424018036951,C39,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036761/D1_C48.jpg,D1_C48.jpg,"(141, 254, 3)",0424018036761,C48,C,1020
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0423918006716/D1_C126.jpg,D1_C126.jpg,"(22, 57, 3)",0423918006716,C126,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0423918006716/D1_C1087.jpg,D1_C1087.jpg,"(81, 37, 3)",0423918006716,C1087,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036792/D1_C39.jpg,D1_C39.jpg,"(131, 53, 3)",0424018036792,C39,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036759/D1_C533.jpg,D1_C533.jpg,"(407, 309, 3)",0424018036759,C533,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018037020/D0_C208.jpg,D0_C208.jpg,"(130, 53, 3)",0424018037020,C208,C,1020
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0423718044596/D0_C10.jpg,D0_C10.jpg,"(102, 209, 3)",0423718044596,C10,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036769/D1_C531.jpg,D1_C531.jpg,"(407, 309, 3)",0424018036769,C531,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036903/D0_C32.jpg,D0_C32.jpg,"(131, 53, 3)",0424018036903,C32,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036794/D1_C42.jpg,D1_C42.jpg,"(131, 54, 3)",0424018036794,C42,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055796/D1_C208.jpg,D1_C208.jpg,"(131, 53, 3)",0424218055796,C208,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055796/D1_C209.jpg,D1_C209.jpg,"(130, 53, 3)",0424218055796,C209,C,1020
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055796/D1_C125.jpg,D1_C125.jpg,"(84, 33, 3)",0424218055796,C125,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036885/D0_C42.jpg,D0_C42.jpg,"(130, 54, 3)",0424018036885,C42,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036825/D0_C530.jpg,D0_C530.jpg,"(310, 408, 3)",0424018036825,C530,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036813/D0_C35.jpg,D0_C35.jpg,"(130, 54, 3)",0424018036813,C35,C,1020
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055336/D0_C109.jpg,D0_C109.jpg,"(83, 34, 3)",0424218055336,C109,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055336/D0_C1090.jpg,D0_C1090.jpg,"(79, 37, 3)",0424218055336,C1090,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036806/D1_C42.jpg,D1_C42.jpg,"(130, 54, 3)",0424018036806,C42,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036864/D1_C206.jpg,D1_C206.jpg,"(54, 131, 3)",0424018036864,C206,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036852/D1_C39.jpg,D1_C39.jpg,"(131, 53, 3)",0424018036852,C39,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036809/D0_C32.jpg,D0_C32.jpg,"(131, 53, 3)",0424018036809,C32,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036838/D1_C42.jpg,D1_C42.jpg,"(131, 54, 3)",0424018036838,C42,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036789/D0_C531.jpg,D0_C531.jpg,"(407, 309, 3)",0424018036789,C531,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036753/D1_C42.jpg,D1_C42.jpg,"(131, 54, 3)",0424018036753,C42,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036888/D1_C42.jpg,D1_C42.jpg,"(130, 53, 3)",0424018036888,C42,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036886/D1_C32.jpg,D1_C32.jpg,"(130, 54, 3)",0424018036886,C32,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036875/D1_C46.jpg,D1_C46.jpg,"(131, 54, 3)",0424018036875,C46,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036818/D1_C46.jpg,D1_C46.jpg,"(130, 53, 3)",0424018036818,C46,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036827/D0_C39.jpg,D0_C39.jpg,"(131, 54, 3)",0424018036827,C39,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036880/D0_C125.jpg,D0_C125.jpg,"(84, 33, 3)",0424018036880,C125,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036858/D1_C533.jpg,D1_C533.jpg,"(408, 309, 3)",0424018036858,C533,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036858/D1_C531.jpg,D1_C531.jpg,"(408, 309, 3)",0424018036858,C531,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036893/D0_C39.jpg,D0_C39.jpg,"(131, 54, 3)",0424018036893,C39,C,1020
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218056363/D1_C1207.jpg,D1_C1207.jpg,"(83, 33, 3)",0424218056363,C1207,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036834/D1_C46.jpg,D1_C46.jpg,"(131, 54, 3)",0424018036834,C46,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036834/D1_C206.jpg,D1_C206.jpg,"(53, 131, 3)",0424018036834,C206,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036859/D0_C532.jpg,D0_C532.jpg,"(408, 309, 3)",0424018036859,C532,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036859/D0_C202.jpg,D0_C202.jpg,"(54, 131, 3)",0424018036859,C202,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036693/D1_C35.jpg,D1_C35.jpg,"(131, 54, 3)",0424018036693,C35,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036656/D1_C208.jpg,D1_C208.jpg,"(131, 53, 3)",0424018036656,C208,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036656/D1_C1085.jpg,D1_C1085.jpg,"(54, 130, 3)",0424018036656,C1085,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018037038/D1_C532.jpg,D1_C532.jpg,"(407, 310, 3)",0424018037038,C532,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036748/D0_C35.jpg,D0_C35.jpg,"(131, 53, 3)",0424018036748,C35,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1027/0424018037335/D1_C532.jpg,D1_C532.jpg,"(407, 310, 3)",0424018037335,C532,C,1027
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1027/0424218056803/D0_C135.jpg,D0_C135.jpg,"(85, 33, 3)",0424218056803,C135,C,1027
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1027/0424018035389/D1_C4.jpg,D1_C4.jpg,"(101, 209, 3)",0424018035389,C4,C,1027
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1027/0424018037325/D0_C533.jpg,D0_C533.jpg,"(407, 309, 3)",0424018037325,C533,C,1027
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028948/D2_C830.jpg,D2_C830.jpg,"(82, 204, 3)",0424618028948,C830,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028948/D1_C830.jpg,D1_C830.jpg,"(82, 204, 3)",0424618028948,C830,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028713/D0_C830.jpg,D0_C830.jpg,"(82, 204, 3)",0424618028713,C830,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618029008/D1_C530.jpg,D1_C530.jpg,"(310, 407, 3)",0424618029008,C530,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618029008/D2_C530.jpg,D2_C530.jpg,"(310, 407, 3)",0424618029008,C530,C,1125
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424718024639/D0_C201.jpg,D0_C201.jpg,"(57, 120, 3)",0424718024639,C201,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028693/D0_C830.jpg,D0_C830.jpg,"(82, 204, 3)",0424618028693,C830,C,1125
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424718004344/D1_C97.jpg,D1_C97.jpg,"(51, 130, 3)",0424718004344,C97,C,1125
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424718004344/D2_C97.jpg,D2_C97.jpg,"(51, 130, 3)",0424718004344,C97,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618012511/D2_C202.jpg,D2_C202.jpg,"(53, 130, 3)",0424618012511,C202,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028619/D0_C830.jpg,D0_C830.jpg,"(82, 204, 3)",0424618028619,C830,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028874/D0_C830.jpg,D0_C830.jpg,"(82, 204, 3)",0424618028874,C830,C,1125
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424718024418/D1_C96.jpg,D1_C96.jpg,"(130, 51, 3)",0424718024418,C96,C,1125
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424718024418/D2_C96.jpg,D2_C96.jpg,"(130, 51, 3)",0424718024418,C96,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0423418013948/D1_C1090.jpg,D1_C1090.jpg,"(54, 27, 3)",0423418013948,C1090,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028797/D2_C846.jpg,D2_C846.jpg,"(204, 81, 3)",0424618028797,C846,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028797/D1_C846.jpg,D1_C846.jpg,"(204, 82, 3)",0424618028797,C846,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028706/D2_C830.jpg,D2_C830.jpg,"(81, 205, 3)",0424618028706,C830,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028706/D1_C830.jpg,D1_C830.jpg,"(81, 205, 3)",0424618028706,C830,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028962/D2_C517.jpg,D2_C517.jpg,"(387, 171, 3)",0424618028962,C517,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028962/D1_C517.jpg,D1_C517.jpg,"(387, 171, 3)",0424618028962,C517,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028730/D2_C517.jpg,D2_C517.jpg,"(387, 172, 3)",0424618028730,C517,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028730/D1_C517.jpg,D1_C517.jpg,"(387, 172, 3)",0424618028730,C517,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618031487/D2_C830.jpg,D2_C830.jpg,"(82, 204, 3)",0424618031487,C830,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618031487/D1_C830.jpg,D1_C830.jpg,"(82, 204, 3)",0424618031487,C830,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028754/D1_C810.jpg,D1_C810.jpg,"(204, 81, 3)",0424618028754,C810,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424618028754/D2_C810.jpg,D2_C810.jpg,"(204, 81, 3)",0424618028754,C810,C,1125
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424718110538/D1_C209.jpg,D1_C209.jpg,"(130, 53, 3)",0424718110538,C209,C,1125
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424718110538/D2_C514.jpg,D2_C514.jpg,"(51, 130, 3)",0424718110538,C514,C,1125
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1125/0424718110538/D1_C514.jpg,D1_C514.jpg,"(51, 130, 3)",0424718110538,C514,C,1125
