true_defect,defect_img_path,defect_image_name,img_shape,board,comp_id,comp_type,date
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036956/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036956,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036703/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036703,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036951/D1_C39.jpg,D1_C39.jpg,"(131, 54, 3)",0424018036951,C39,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018037074/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018037074,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036704/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036704,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036958/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036958,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036994/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036994,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036735/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036735,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036761/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036761,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036761/D1_C48.jpg,D1_C48.jpg,"(141, 254, 3)",0424018036761,C48,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018037011/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018037011,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018037011/D1_L10.jpg,D1_L10.jpg,"(675, 772, 3)",0424018037011,L10,L,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0423918006716/D1_U12.jpg,D1_U12.jpg,"(101, 140, 3)",0423918006716,U12,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0423918006716/D1_RS1.jpg,D1_RS1.jpg,"(166, 90, 3)",0423918006716,RS1,RS,1020
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0423918006716/D1_C126.jpg,D1_C126.jpg,"(22, 57, 3)",0423918006716,C126,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0423918006716/D1_R520.jpg,D1_R520.jpg,"(85, 36, 3)",0423918006716,R520,R,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0423918006716/D1_C1087.jpg,D1_C1087.jpg,"(81, 37, 3)",0423918006716,C1087,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036795/D0_U7.jpg,D0_U7.jpg,"(1907, 1751, 3)",0424018036795,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036934/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036934,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036792/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036792,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036792/D1_C39.jpg,D1_C39.jpg,"(131, 53, 3)",0424018036792,C39,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036759/D1_C533.jpg,D1_C533.jpg,"(407, 309, 3)",0424018036759,C533,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018037020/D0_C208.jpg,D0_C208.jpg,"(130, 53, 3)",0424018037020,C208,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018037020/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018037020,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0423718044596/D0_Y4.jpg,D0_Y4.jpg,"(129, 167, 3)",0423718044596,Y4,Y,1020
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0423718044596/D0_C10.jpg,D0_C10.jpg,"(102, 209, 3)",0423718044596,C10,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036750/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036750,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036902/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036902,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036995/D1_Y1.jpg,D1_Y1.jpg,"(207, 126, 3)",0424018036995,Y1,Y,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036992/D0_U7.jpg,D0_U7.jpg,"(1907, 1751, 3)",0424018036992,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036959/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036959,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036705/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036705,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036968/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036968,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036702/D0_U7.jpg,D0_U7.jpg,"(1907, 1751, 3)",0424018036702,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036756/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036756,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036769/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036769,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036769/D1_C531.jpg,D1_C531.jpg,"(407, 309, 3)",0424018036769,C531,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036903/D0_C32.jpg,D0_C32.jpg,"(131, 53, 3)",0424018036903,C32,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036751/D1_U13.jpg,D1_U13.jpg,"(103, 130, 3)",0424018036751,U13,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036751/D1_U12.jpg,D1_U12.jpg,"(149, 209, 3)",0424018036751,U12,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018037021/D1_U7.jpg,D1_U7.jpg,"(1907, 1751, 3)",0424018037021,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036793/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036793,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018037017/D1_U7.jpg,D1_U7.jpg,"(1907, 1751, 3)",0424018037017,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036794/D1_C42.jpg,D1_C42.jpg,"(131, 54, 3)",0424018036794,C42,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036760/D0_U28.jpg,D0_U28.jpg,"(731, 643, 3)",0424018036760,U28,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036935/D1_U29.jpg,D1_U29.jpg,"(100, 150, 3)",0424018036935,U29,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036935/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036935,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036878/D0_U28.jpg,D0_U28.jpg,"(731, 644, 3)",0424018036878,U28,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036878/D0_U7.jpg,D0_U7.jpg,"(1907, 1751, 3)",0424018036878,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036876/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036876,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036871/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036871,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055796/D1_R1318.jpg,D1_R1318.jpg,"(84, 36, 3)",0424218055796,R1318,R,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055796/D1_C208.jpg,D1_C208.jpg,"(131, 53, 3)",0424218055796,C208,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055796/D1_C209.jpg,D1_C209.jpg,"(130, 53, 3)",0424218055796,C209,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055796/D1_R199.jpg,D1_R199.jpg,"(36, 83, 3)",0424218055796,R199,R,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055796/D1_R161.jpg,D1_R161.jpg,"(84, 36, 3)",0424218055796,R161,R,1020
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055796/D1_C125.jpg,D1_C125.jpg,"(84, 33, 3)",0424218055796,C125,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055796/D1_R1361.jpg,D1_R1361.jpg,"(37, 84, 3)",0424218055796,R1361,R,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036885/D0_C42.jpg,D0_C42.jpg,"(130, 54, 3)",0424018036885,C42,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036825/D0_U12.jpg,D0_U12.jpg,"(149, 209, 3)",0424018036825,U12,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036825/D0_C530.jpg,D0_C530.jpg,"(310, 408, 3)",0424018036825,C530,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036825/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036825,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036683/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036683,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036677/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036677,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036814/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036814,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036679/D1_U7.jpg,D1_U7.jpg,"(1907, 1751, 3)",0424018036679,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036813/D0_C35.jpg,D0_C35.jpg,"(130, 54, 3)",0424018036813,C35,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036813/D0_U7.jpg,D0_U7.jpg,"(1907, 1751, 3)",0424018036813,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036870/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036870,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036877/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036877,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036883/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036883,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055336/D0_R1318.jpg,D0_R1318.jpg,"(84, 37, 3)",0424218055336,R1318,R,1020
defect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055336/D0_C109.jpg,D0_C109.jpg,"(83, 34, 3)",0424218055336,C109,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055336/D0_Q55.jpg,D0_Q55.jpg,"(74, 113, 3)",0424218055336,Q55,Q,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055336/D0_C1090.jpg,D0_C1090.jpg,"(79, 37, 3)",0424218055336,C1090,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055336/D0_R1361.jpg,D0_R1361.jpg,"(36, 84, 3)",0424218055336,R1361,R,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424218055336/D0_R1360.jpg,D0_R1360.jpg,"(36, 84, 3)",0424218055336,R1360,R,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036879/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036879,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036678/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036678,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036812/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036812,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036815/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036815,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036676/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036676,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036682/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036682,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036685/D0_U7.jpg,D0_U7.jpg,"(1907, 1751, 3)",0424018036685,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036824/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036824,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036806/D1_C42.jpg,D1_C42.jpg,"(130, 54, 3)",0424018036806,C42,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036801/D0_U7.jpg,D0_U7.jpg,"(1907, 1751, 3)",0424018036801,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036696/D0_U13.jpg,D0_U13.jpg,"(103, 129, 3)",0424018036696,U13,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036830/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036830,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036890/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036890,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036864/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036864,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036864/D1_C206.jpg,D1_C206.jpg,"(54, 131, 3)",0424018036864,C206,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036863/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036863,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036897/D1_U7.jpg,D1_U7.jpg,"(1907, 1751, 3)",0424018036897,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036899/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036899,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036852/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036852,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036852/D1_C39.jpg,D1_C39.jpg,"(131, 53, 3)",0424018036852,C39,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036690/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036690,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036836/D1_R176.jpg,D1_R176.jpg,"(36, 88, 3)",0424018036836,R176,R,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036836/D1_U7.jpg,D1_U7.jpg,"(1907, 1752, 3)",0424018036836,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036809/D0_C32.jpg,D0_C32.jpg,"(131, 53, 3)",0424018036809,C32,C,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036809/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036809,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036655/D0_U7.jpg,D0_U7.jpg,"(1907, 1752, 3)",0424018036655,U7,U,1020
notdefect,/Users/zhangjiawei/Code/Micro-specialization/NVIDIA_CV_Inspection/data/AOI_DL_data_1020/0424018036807/D0_U7.jpg,D0_U7.jpg,"(1907, 1751, 3)",0424018036807,U7,U,1020
